"county","year","n"
"Alameda",2021,1057
"Alpine",2021,0
"Amador",2021,12
"Butte",2021,67
"Calaveras",2021,19
"Colusa",2021,5
"Contra Costa",2021,933
"Del Norte",2021,9
"El Dorado",2021,112
"Fresno",2021,268
"Glenn",2021,8
"Humboldt",2021,42
"Imperial",2021,59
"Inyo",2021,5
"Kern",2021,372
"Kings",2021,47
"Lake",2021,13
"Lassen",2021,5
"Los Angeles",2021,5670
"Madera",2021,31
"Marin",2021,293
"Mariposa",2021,5
"Mendocino",2021,37
"Merced",2021,107
"Modoc",2021,2
"Mono",2021,4
"Monterey",2021,215
"Napa",2021,73
"Nevada",2021,32
"Orange",2021,2065
"Placer",2021,198
"Plumas",2021,1
"Riverside",2021,819
"Sacramento",2021,546
"San Benito",2021,28
"San Bernadino",2021,800
"San Diego",2021,1612
"San Fransisco",2021,348
"San Joaquin",2021,277
"San Luis Obispo",2021,195
"San Mateo",2021,617
"Santa Barbara",2021,964
"Santa Clara",2021,1878
"Santa Cruz",2021,178
"Shasta",2021,51
"Sierra",2021,0
"Siskiyou",2021,7
"Solano",2021,151
"Sonoma",2021,273
"Stanislaus",2021,217
"Slutter",2021,33
"Tehama",2021,12
"Trinity",2021,4
"Tulare",2021,192
"Tuolumne",2021,8
"Ventura",2021,1046
"Yolo",2021,114
"Yuba",2021,19
"Alameda",2020,1016
"Alpine",2020,0
"Amador",2020,13
"Butte",2020,76
"Calaveras",2020,18
"Colusa",2020,4
"Contra Costa",2020,907
"Del Norte",2020,5
"El Dorado",2020,90
"Fresno",2020,284
"Glenn",2020,7
"Humboldt",2020,42
"Imperial",2020,65
"Inyo",2020,6
"Kern",2020,362
"Kings",2020,56
"Lake",2020,12
"Lassen",2020,6
"Los Angeles",2020,5685
"Madera",2020,35
"Marin",2020,268
"Mariposa",2020,6
"Mendocino",2020,33
"Merced",2020,97
"Modoc",2020,1
"Mono",2020,4
"Monterey",2020,209
"Napa",2020,76
"Nevada",2020,29
"Orange",2020,1989
"Placer",2020,201
"Plumas",2020,2
"Riverside",2020,831
"Sacramento",2020,535
"San Benito",2020,29
"San Bernadino",2020,817
"San Diego",2020,1636
"San Fransisco",2020,369
"San Joaquin",2020,255
"San Luis Obispo",2020,181
"San Mateo",2020,581
"Santa Barbara",2020,1011
"Santa Clara",2020,1791
"Santa Cruz",2020,213
"Shasta",2020,45
"Sierra",2020,0
"Siskiyou",2020,12
"Solano",2020,164
"Sonoma",2020,260
"Stanislaus",2020,210
"Slutter",2020,37
"Tehama",2020,10
"Trinity",2020,2
"Tulare",2020,194
"Tuolumne",2020,9
"Ventura",2020,1048
"Yolo",2020,108
"Yuba",2020,16
"Alameda",2019,1060
"Alpine",2019,0
"Amador",2019,13
"Butte",2019,68
"Calaveras",2019,16
"Colusa",2019,4
"Contra Costa",2019,933
"Del Norte",2019,4
"El Dorado",2019,89
"Fresno",2019,291
"Glenn",2019,6
