Country,y21
Afghanistan,2
Albania,2
Algeria,1
Argentina,7
Armenia,2
Australia,14
Austria,5
Azerbaijan,2
Bangladesh,16
Belarus,1
Belgium,4
Belize,0
Bermuda,1
Bolivia,1
Botswana,2
Brazil,37
Bulgaria,1
Cambodia,1
Cameroon,1
Canada,51
Chile,11
China,2797
Colombia,16
Costa Rice,2
Croatia,1
Cuba,1
Cyprus,1
Czech Republic,0
Denmark,4
Dominican Republic,1
Ecuador,4
Egypt,10
El Salvador,2
England,0
Ethiopia,1
Finland,3
France,21
Georgia,1
Germany,28
Ghana,3
Greece,9
Guatemala,4
Honduras,4
Hong Kong,47
Hungary,1
Iceland,1
India,157
Indonesia,12
Iran,43
Ireland,4
Israel,7
Italy,20
Jamaica,1
Japan,41
Jordan,2
Kazakhstan,4
Kenya,1
Kuwait,4
Kyrgyzstan,1
Latvia,3
Lebanon,4
Libya,0
Lithuania,0
Luxembourg,0
Macau,4
Macedonia,1
Malaysia,14
Mexico,52
Mongolia,2
Morocoo,1
Myanmar,4
Nimibia,1
Nepal,1
Netherlands,1
New Zealand,3
Nicaragua,1
Nigeria,3
Norway,3
Oman,1
Pakistan,6
Palau,0
Panama,1
Paraguay,1
Peru,7
Philippines,17
Poland,4
Portugal,2
Qatar,2
Romania,4
Russia,20
Saudi Arabia,8
Scotland,1
Senegal,1
Serbia,3
Singapore,17
Somalia,1
South Africa,6
South Korea,88
Spain,25
Sri Lanka,3
Sweden,5
Switzerland,8
Taiwan,100
Thailand,10
Trinidad and Tobago,0
Tunisia,1
Turkey,32
Ukraine,4
United Arab Emirates,13
United Kingdom,32
Uruguay,3
Uzbekistan,1
Venezuela,4
Vietnam,17
Zimbabwe,2
