"name","year","val"
"Alabama","2021",5
"Alaska","2021",5
"Arizona","2021",65
"Arkansas","2021",10
"California","2021",22205
"Colorado","2021",117
"Connecticut","2021",66
"Delaware","2021",8
"District of Columbia","2021",26
"Florida","2021",92
"Georgia","2021",45
"Hawaii","2021",41
"Idaho","2021",13
"Illinois","2021",152
"Indiana","2021",25
"Iowa","2021",12
"Kansas","2021",14
"Kentucky","2021",10
"Louisiana","2021",19
"Maine","2021",9
"Maryland","2021",89
"Massachusetts","2021",132
"Michigan","2021",42
"Minnesota","2021",48
"Mississippi","2021",4
"Missouri","2021",27
"Montana","2021",14
"Nebraska","2021",4
"Nevada","2021",51
"New Hampshire","2021",4
"New Jersey","2021",146
"New Mexico","2021",31
"New York","2021",181
"North Carolina","2021",61
"North Dakota","2021",3
"Ohio","2021",42
"Oklahoma","2021",3
"Oregon","2021",69
"Pennsylvania","2021",93
"Rhode Island","2021",8
"South Carolina","2021",10
"South Dakota","2021",1
"Tennessee","2021",23
"Texas","2021",141
"Utah","2021",33
"Vermont","2021",7
"Virginia","2021",97
"Washington","2021",181
"West Virginia","2021",2
"Wisconsin","2021",34
"Wyoming","2021",5
"Alabama","2020",5
"Alaska","2020",4
"Arizona","2020",68
"Arkansas","2020",10
"California","2020",22005
"Colorado","2020",115
"Connecticut","2020",53
"Delaware","2020",9
"District of Columbia","2020",20
"Florida","2020",86
"Georgia","2020",41
"Hawaii","2020",43
"Idaho","2020",14
"Illinois","2020",127
"Indiana","2020",24
"Iowa","2020",15
"Kansas","2020",15
"Kentucky","2020",12
"Louisiana","2020",19
"Maine","2020",10
"Maryland","2020",87
"Massachusetts","2020",116
"Michigan","2020",39
"Minnesota","2020",43
"Mississippi","2020",3
"Missouri","2020",25
"Montana","2020",14
"Nebraska","2020",4
"Nevada","2020",47
"New Hampshire","2020",4
"New Jersey","2020",131
"New Mexico","2020",28
"New York","2020",172
"North Carolina","2020",60
"North Dakota","2020",3
"Ohio","2020",47
"Oklahoma","2020",2
"Oregon","2020",57
"Pennsylvania","2020",88
"Rhode Island","2020",6
"South Carolina","2020",8
"South Dakota","2020",2
"Tennessee","2020",24
"Texas","2020",141
"Utah","2020",38
"Vermont","2020",9
"Virginia","2020",79
"Washington","2020",147
"West Virginia","2020",1
"Wisconsin","2020",31
"Wyoming","2020",4
"Alabama","2019",2
"Alaska","2019",8
"Arizona","2019",66
"Arkansas","2019",9
"California","2019",22361
"Colorado","2019",104
"Connecticut","2019",52
"Delaware","2019",9
"District of Columbia","2019",19
"Florida","2019",77
"Georgia","2019",44
"Hawaii","2019",37
"Idaho","2019",17
"Illinois","2019",122
"Indiana","2019",18
"Iowa","2019",17
"Kansas","2019",17
"Kentucky","2019",11
"Louisiana","2019",13
"Maine","2019",11
"Maryland","2019",71
"Massachusetts","2019",107
"Michigan","2019",39
"Minnesota","2019",42
"Mississippi","2019",3
"Missouri","2019",27
"Montana","2019",11
"Nebraska","2019",6
"Nevada","2019",47
"New Hampshire","2019",7
"New Jersey","2019",117
"New Mexico","2019",30
"New York","2019",175
"North Carolina","2019",55
"North Dakota","2019",3
"Ohio","2019",44
"Oklahoma","2019",6
"Oregon","2019",55
"Pennsylvania","2019",86
"Rhode Island","2019",7
"South Carolina","2019",7
"South Dakota","2019",2
"Tennessee","2019",23
"Texas","2019",122
"Utah","2019",33
"Vermont","2019",6
"Virginia","2019",69
"Washington","2019",143
"West Virginia","2019",1
"Wisconsin","2019",30
"Wyoming","2019",5
"Alabama","2018",3
"Alaska","2018",6
"Arizona","2018",62
"Arkansas","2018",11
"California","2018",21888
"Colorado","2018",106
"Connecticut","2018",39
"Delaware","2018",4
"District of Columbia","2018",16
"Florida","2018",76
"Georgia","2018",40
"Hawaii","2018",29
"Idaho","2018",15
"Illinois","2018",113
"Indiana","2018",21
"Iowa","2018",17
"Kansas","2018",20
"Kentucky","2018",10
"Louisiana","2018",11
"Maine","2018",9
"Maryland","2018",65
"Massachusetts","2018",93
"Michigan","2018",39
"Minnesota","2018",47
"Mississippi","2018",2
"Missouri","2018",32
"Montana","2018",10
"Nebraska","2018",9
"Nevada","2018",50
"New Hampshire","2018",10
"New Jersey","2018",103
"New Mexico","2018",28
"New York","2018",167
"North Carolina","2018",42
"North Dakota","2018",1
"Ohio","2018",38
"Oklahoma","2018",8
"Oregon","2018",62
"Pennsylvania","2018",77
"Rhode Island","2018",5
"South Carolina","2018",8
"South Dakota","2018",2
"Tennessee","2018",18
"Texas","2018",101
"Utah","2018",28
"Vermont","2018",3
"Virginia","2018",70
"Washington","2018",131
"West Virginia","2018",0
"Wisconsin","2018",27
"Wyoming","2018",2
"Alabama","2017",7
"Alaska","2017",6
"Arizona","2017",65
"Arkansas","2017",9
"California","2017",21508
"Colorado","2017",110
"Connecticut","2017",43
"Delaware","2017",4
"District of Columbia","2017",22
"Florida","2017",70
"Georgia","2017",31
"Hawaii","2017",25
"Idaho","2017",15
"Illinois","2017",116
"Indiana","2017",22
"Iowa","2017",13
"Kansas","2017",20
"Kentucky","2017",9
"Louisiana","2017",6
"Maine","2017",12
"Maryland","2017",66
"Massachusetts","2017",100
"Michigan","2017",37
"Minnesota","2017",44
"Mississippi","2017",3
"Missouri","2017",32
"Montana","2017",12
"Nebraska","2017",9
"Nevada","2017",43
"New Hampshire","2017",12
"New Jersey","2017",96
"New Mexico","2017",36
"New York","2017",175
"North Carolina","2017",38
"North Dakota","2017",1
"Ohio","2017",39
"Oklahoma","2017",9
"Oregon","2017",59
"Pennsylvania","2017",78
"Rhode Island","2017",6
"South Carolina","2017",5
"South Dakota","2017",3
"Tennessee","2017",16
"Texas","2017",110
"Utah","2017",21
"Vermont","2017",4
"Virginia","2017",63
"Washington","2017",129
"West Virginia","2017",0
"Wisconsin","2017",31
"Wyoming","2017",2
"Alabama","2016",6
"Alaska","2016",8
"Arizona","2016",72
"Arkansas","2016",7
"California","2016",20960
"Colorado","2016",108
"Connecticut","2016",50
"Delaware","2016",6
"District of Columbia","2016",24
"Florida","2016",67
"Georgia","2016",31
"Hawaii","2016",26
"Idaho","2016",17
"Illinois","2016",120
"Indiana","2016",19
"Iowa","2016",14
"Kansas","2016",19
"Kentucky","2016",12
"Louisiana","2016",9
"Maine","2016",9
"Maryland","2016",73
"Massachusetts","2016",84
