Country,y21,y20,y19,y18,y17,y16,y15,y14,y13,y12,y11
Afghanistan,2,1,1,1,0,2,2,1,1,1,0
Albania,2,2,2,1,0,0,0,0,0,0,0
Algeria,1,1,1,0,0,0,0,0,0,0,0
Argentina,7,4,4,5,5,5,5,5,4,2,2
Armenia,2,1,0,0,0,0,0,0,0,0,1
Australia,14,10,9,11,16,14,9,9,6,5,3
Austria,5,5,4,5,6,3,3,4,4,7,5
Azerbaijan,2,1,1,1,1,1,0,0,0,0,0
Bahrain,0,0,0,2,4,4,3,2,1,2,0
Bangladesh,16,10,9,4,6,3,1,1,1,1,2
Belarus,1,1,1,2,2,2,1,0,0,0,0
Belgium,4,4,3,2,2,2,0,0,2,2,3
Belize,0,1,1,2,1,0,1,1,0,0,0
Bermuda,1,0,0,0,0,0,0,0,0,0,0
Bolivia,1,1,1,1,0,0,0,0,0,0,0
Bosnia-Herzegovina,0,0,1,1,0,0,0,0,0,0,0
Botswana,2,2,0,0,0,0,0,0,2,2,1
Brazil,37,36,38,37,32,36,29,19,17,11,14
Brunei,0,0,0,0,0,0,1,2,2,1,1
Bulgaria,1,2,2,1,3,1,1,2,3,3,3
Cambodia,1,0,1,1,2,2,0,0,0,1,1
Cameroon,1,1,1,1,0,0,0,0,0,0,0
Canada,51,58,47,50,38,38,36,39,33,30,33
Chile,11,9,12,14,16,14,9,13,13,13,10
China,2797,2957,2449,1962,1625,1289,1038,747,541,302,198
Colombia,16,16,15,13,13,12,9,7,7,6,5
Costa Rica,2,2,1,0,2,1,0,0,0,0,0
Cote d'lvoire,0,0,0,0,0,0,1,0,0,0,0
Croatia,1,1,1,1,2,1,1,1,1,0,2
Cuba,1,0,0,0,0,0,1,1,1,2,0
Cyprus,1,1,1,1,2,2,1,2,1,1,1
Czech Republic,0,1,1,0,0,1,1,0,0,0,0
Denmark,4,3,4,3,3,2,4,2,1,2,5
Dominican Republic,1,2,0,0,1,1,1,1,8,2,0
Ecuador,4,7,6,7,7,5,3,0,0,1,2
Egypt,10,9,10,9,8,7,4,4,5,7,6
El Salvador,2,2,2,2,3,3,1,1,1,0,1
England,0,1,0,0,0,0,0,0,2,1,3
Ethiopia,1,1,1,1,1,1,0,0,0,0,0
Finland,3,3,4,4,3,2,1,1,0,0,0
France,21,27,28,24,18,15,10,10,15,11,11
Georgia,1,0,0,0,0,0,0,0,0,0,0
Germany,28,28,29,32,36,34,29,25,27,19,20
Ghana,3,2,1,0,0,0,0,0,0,1,1
Greece,9,7,8,7,9,10,9,7,7,8,6
Guatemala,4,4,0,1,1,1,1,2,1,0,0
Honduras,4,3,1,0,1,1,1,1,1,0,1
Haiti,0,0,0,1,0,0,0,0,0,0,0
Hong Kong,47,38,27,27,30,34,37,31,24,20,23
Hungary,1,1,1,2,1,1,2,0,0,1,2
Iceland,1,1,1,1,1,1,1,1,1,1,3
India,157,173,152,158,144,130,111,106,100,112,111
Indonesia,12,11,4,5,5,4,3,3,3,6,5
Iran,43,49,46,45,42,37,33,24,27,17,21
Ireland,4,4,3,3,1,2,1,1,2,2,6
Israel,7,8,8,6,3,5,7,7,4,3,3
Italy,20,24,19,16,12,15,15,10,13,15,13
Jamaica,1,1,0,0,0,0,0,0,0,0,0
Japan,41,48,46,31,31,31,28,24,31,37,41
Jordan,2,2,2,1,0,0,1,2,1,3,3
Kazakhstan,4,2,3,2,1,2,3,3,3,1,1
Kenya,1,2,2,3,3,1,1,3,4,2,3
Kuwait,4,3,5,5,4,6,5,2,7,3,1
Kyrgyzstan,1,1,1,0,0,0,0,0,0,0,0
Latvia,3,3,2,1,0,0,1,1,0,0,0
Lebanon,4,4,3,3,3,3,3,3,3,4,2
Libya,0,1,1,1,1,1,1,0,0,0,0
Lithuania,0,1,1,1,1,2,2,1,1,0,0
Luxembourg,0,1,1,1,1,0,0,0,1,1,1
Macau,4,4,3,2,2,1,0,0,2,2,1
Macedonia,1,1,1,1,1,0,0,0,0,0,0
Malaysia,14,11,14,13,8,3,2,4,4,1,1
Martinique,0,0,0,0,0,0,0,1,0,0,0
Mexico,52,58,53,48,44,40,36,35,30,22,22
Moldova,0,0,0,0,0,1,1,1,1,1,1
Mongolia,2,2,2,1,1,0,0,0,1,1,0
Morocoo,1,2,1,1,1,0,0,1,1,1,0
Myanmar,4,3,3,1,1,0,0,0,0,0,0
Nimibia,1,0,3,0,0,0,0,0,0,0,0
Nepal,1,3,0,5,4,4,3,3,2,2,2
Netherlands,1,2,2,4,2,1,2,2,2,3,2
New Caledonia,0,0,0,0,0,0,0,0,0,0,0
New Zealand,3,5,3,4,3,2,2,2,2,2,3
Nicaragua,1,1,1,1,1,1,1,1,0,0,0
